Linux 6.1.0-37-amd64 (dep881-unknown25827779.i.nease.net) 	08/20/26 	_x86_64_	(16 CPU)

17:04:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:14       4   34.95    0.00   19.42    3.88    0.00    4.85    6.80    0.00    0.00   30.10
17:04:14       5   41.41    0.00   10.10    6.06    0.00    8.08    5.05    0.00    0.00   29.29
17:04:14       6   45.92    0.00   11.22    1.02    0.00    8.16    5.10    0.00    0.00   28.57
17:04:14       7   39.36    0.00   10.64    2.13    0.00   12.77    5.32    0.00    0.00   29.79
17:04:14       8   57.00    0.00   12.00    0.00    0.00    1.00    4.00    0.00    0.00   26.00
17:04:14       9   52.48    0.00    8.91    1.98    0.00    2.97    3.96    0.00    0.00   29.70
17:04:14      10   50.00    0.00   15.31    4.08    0.00    1.02    4.08    0.00    0.00   25.51
17:04:14      11   43.14    0.00   20.59    0.00    0.00    0.98    5.88    0.00    0.00   29.41
17:04:14      12   48.39    0.00   10.75    2.15    0.00    2.15    4.30    0.00    0.00   32.26
17:04:14      13   54.00    0.00   18.00    0.00    0.00    3.00    3.00    0.00    0.00   22.00
17:04:14      14   48.00    0.00   21.00    0.00    0.00    2.00    5.00    0.00    0.00   24.00
17:04:14      15   38.78    0.00   14.29    0.00    0.00    4.08    5.10    0.00    0.00   37.76

17:04:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:15     all   43.71    0.00   14.51    1.43    0.00    5.39    6.08    0.00    0.00   28.89
17:04:15       0   45.19    0.00   13.46    0.00    0.00    6.73    6.73    0.00    0.00   27.88
17:04:15       1   48.57    0.00   13.33    0.95    0.00   13.33    4.76    0.00    0.00   19.05
17:04:15       2   49.00    0.00   13.00    0.00    0.00    8.00    7.00    0.00    0.00   23.00
17:04:15       3   36.89    0.00   18.45    0.00    0.00    4.85    6.80    0.00    0.00   33.01
17:04:15       4   51.55    0.00    8.25    0.00    0.00   10.31    4.12    0.00    0.00   25.77
17:04:15       5   30.30    0.00   19.19    2.02    0.00    7.07    8.08    0.00    0.00   33.33
